ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-10-19 04:44:02.462097+00:00,price_fetch_start,corr-1760849042462,,JPY=X,15m,60d,,
2025-10-19 04:44:02.954260+00:00,price_fetch_success,corr-1760849042462,yfinance_history,JPY=X,15m,60d,475,
2025-10-19 04:44:03.426438+00:00,price_fetch_success,corr-1760849042462,yfinance_download,JPY=X,15m,60d,471,
2025-10-19 04:46:26.146793+00:00,price_fetch_start,corr-1760849186146,,JPY=X,15m,60d,,
2025-10-19 04:46:26.533735+00:00,price_fetch_success,corr-1760849186146,yfinance_history,JPY=X,15m,60d,382,
2025-10-19 04:46:26.697122+00:00,price_fetch_success,corr-1760849186146,yfinance_download,JPY=X,15m,60d,161,
2025-10-19 04:48:13.494489+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:48:13.937195+00:00,price_fetch_success,corr-1760849293494,yfinance_history,JPY=X,15m,60d,434,
2025-10-19 04:48:14.336599+00:00,price_fetch_success,corr-1760849293494,yfinance_download,JPY=X,15m,60d,398,
2025-10-19 04:48:41.817617+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:48:51.651284+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:48:57.544125+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:01.665586+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:04.469974+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:23.377798+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:23.825130+00:00,price_fetch_success,corr-1760849293494,yfinance_history,JPY=X,15m,60d,444,
2025-10-19 04:49:23.983611+00:00,price_fetch_success,corr-1760849293494,yfinance_download,JPY=X,15m,60d,157,
2025-10-19 04:49:28.637036+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:31.461500+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:34.220533+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:41.068069+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:44.954251+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:49:51.505478+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
2025-10-19 04:50:15.944427+00:00,price_fetch_start,corr-1760849293494,,JPY=X,15m,60d,,
